igi.event,daten,focal,rival,n.adults,mean.age
1,36575,1B,X,31,745.3870968
2,36586,2,1B,22,1135.045455
3,36605,1B,2,15,1003.6
4,36606,1J,1B,13,597.8461538
5,36621,2,1J,19,1236.263158
6,36634,11,2,13,1179.769231
7,36636,2,11,19,1251.263158
8,36649,1J,2,10,648.7
9,36656,2,1B,19,1271.263158
10,36662,4B,11,16,822.875
12,36711,2,1B,19,1234.631579
13,36755,2,1I,19,1168.368421
14,36770,4B,11,10,1023.9
15,36781,1B,2,21,941.1428571
16,36798,1B,2,21,958.1428571
17,36799,2,11,18,1218.611111
18,36804,1C,1B,28,751.5357143
19,36882,1B,UNK MALES,25,881.24
20,36900,1K,1B,4,464
21,36901,1B,1K,20,1005.55
23,37048,1B,2,30,838.1
24,37096,1B,2,30,877.8333333
29,37129,2,1B,25,1155.6
31,37167,2,1B,25,1193.6
34,37187,1B,2,29,891.4827586
35,37189,2,1B,30,1047
38,37238,1B,2,33,825.3333333
39,37244,1C,1B,10,1305.1
40,37327,1B,2,25,863.36
41,37370,1K,1B,4,1006.5
42,37399,1B,1K,26,907.8461538
43,37576,2,1B,13,1858.538462
44,37743,1B,1K,30,791.4
45,37744,1B,1K,30,792.4
46,37750,12,1B,10,914.9
48,37785,2,11,13,2067.538462
49,37804,2,1B,13,2086.538462
50,37816,11,1B,19,1339.368421
51,37816,1B,11,29,877.137931
52,37819,1B,12,29,880.137931
53,37847,1B,12,28,929.1071429
54,37858,11,1B,19,1381.368421
55,37868,4B,1H,29,989.3103448
56,37872,12,1B,7,771.4285714
57,37874,1B,1K,29,896.2758621
58,37884,2,11,13,2166.538462
59,37884,2,11,13,2166.538462
60,37890,1B,12,29,912.2758621
61,37891,1B,2,29,913.2758621
62,37895,1K,1C,10,1385.3
63,37903,1B,11,27,955.8148148
64,37910,12,1B,7,809.4285714
65,37918,11,2,17,1293.529412
66,37921,11,4B,14,1452.642857
67,37921,11,4B,14,1452.642857
68,37923,12,1B,7,822.4285714
69,37924,4B,1H,25,1135.16
70,37924,1K,1C,13,1131.307692
72,37931,1B,12,28,952.8928571
73,37932,4B,1H,21,1282.380952
74,37932,1B,1K,28,953.8928571
75,37945,1C,1K,9,1445.888889
77,37956,1H,12,30,871.4666667
78,38050,4B,1H,29,1092.137931
79,38072,2,11,8,2004.875
80,38083,1B,12,28,1024.357143
81,38117,1B,12,30,1000.866667
82,38120,12,1B,8,895.5
83,38124,1B,1H,30,1007.866667
84,38157,1B,1K,30,1040.866667
