igi.event,daten,focal,rival,n.adults,mean.age
1,36575,1B,X,5,778
2,36586,2,1B,31,756.3870968
3,36605,1B,2,19,1194.368421
4,36606,1J,1B,15,1004.6
5,36621,2,1J,11,596.6363636
6,36634,11,2,19,1249.263158
7,36636,2,11,13,1181.769231
8,36649,1J,2,19,1264.263158
9,36656,2,1B,21,816.1428571
10,36662,4B,11,11,1359.727273
12,36711,2,1B,21,871.1428571
13,36755,2,1I,3,613
14,36770,4B,11,9,1551.888889
15,36781,1B,2,18,1200.611111
16,36798,1B,2,18,1217.611111
17,36799,2,11,9,1580.888889
18,36804,1C,1B,20,990.45
20,36900,1K,1B,20,1004.55
21,36901,1B,1K,4,465
23,37048,1B,2,25,1074.6
24,37096,1B,2,25,1122.6
29,37129,2,1B,30,910.8333333
31,37167,2,1B,30,948.8333333
34,37187,1B,2,30,1045
35,37189,2,1B,29,893.4827586
38,37238,1B,2,29,1037.827586
39,37244,1C,1B,33,831.3333333
40,37327,1B,2,15,1468.533333
41,37370,1K,1B,26,878.8461538
42,37399,1B,1K,6,903.1666667
43,37576,2,1B,24,899.625
44,37743,1B,1K,8,1225.5
45,37744,1B,1K,8,1226.5
46,37750,12,1B,30,798.4
48,37785,2,11,19,1308.368421
49,37804,2,1B,29,865.137931
50,37816,11,1B,29,877.137931
51,37816,1B,11,19,1339.368421
52,37819,1B,12,8,744.5
53,37847,1B,12,8,772.5
54,37858,11,1B,33,826.3030303
55,37868,4B,1H,25,918.64
56,37872,12,1B,31,854.2903226
57,37874,1B,1K,10,1364.3
58,37884,2,11,17,1259.529412
59,37884,2,11,17,1259.529412
60,37890,1B,12,7,789.4285714
61,37891,1B,2,13,2173.538462
62,37895,1K,1C,10,1585
63,37903,1B,11,17,1278.529412
64,37910,12,1B,27,962.8148148
65,37918,11,2,13,2200.538462
66,37921,11,4B,25,1132.16
67,37921,11,4B,25,1132.16
68,37923,12,1B,26,1003.576923
69,37924,4B,1H,30,839.4666667
70,37924,1K,1C,9,1424.888889
72,37931,1B,12,7,830.4285714
73,37932,4B,1H,30,847.4666667
74,37932,1B,1K,12,1193.833333
75,37945,1C,1K,12,1206.833333
77,37956,1H,12,7,855.4285714
78,38050,4B,1H,30,965.4666667
79,38072,2,11,17,1379.235294
80,38083,1B,12,9,814.3333333
81,38117,1B,12,8,892.5
82,38120,12,1B,30,1003.866667
83,38124,1B,1H,31,931.6774194
84,38157,1B,1K,11,1371.909091
85,38159,1H,4B,27,1143.777778
86,38163,1B,11,17,1416.705882
87,38179,1K,1B,28,1097.321429
88,38206,4B,1H,29,997.2758621
89,38207,1N,2,31,1041.451613
90,38208,2,1N,7,664.4285714
91,38209,1B,12,8,984.5
92,38211,1B,2,31,1045.451613
93,38212,1B,1N,7,668.4285714
94,38219,1N,2,31,1053.451613
95,38222,2,1N,7,678.4285714
96,38223,4B,11,17,1476.705882
97,38226,1N,2,32,1050.25
98,38226,1N,2,32,1050.25
99,38229,2,1N,7,685.4285714
100,38229,1B,1N,7,685.4285714
101,38230,1B,1K,8,1501
102,38231,1N,1B,20,1312.3
103,38232,1N,1B,20,1313.3
104,38232,1B,2,33,1046.363636
105,38232,2,1N,7,688.4285714
106,38232,1B,1N,7,688.4285714
107,38239,11,1N,7,695.4285714
108,38239,1N,1H,29,1030.275862
109,38242,2,1B,20,1323.3
110,38242,12,1N,7,698.4285714
111,38244,1N,2,33,1058.363636
112,38246,1B,11,17,1499.705882
113,38246,1B,2,33,1060.363636
114,38246,2,1N,7,702.4285714
115,38246,12,1B,20,1327.3
116,38246,1B,1N,7,702.4285714
117,38254,1B,1N,7,710.4285714
118,38254,1B,2,33,1068.363636
119,38257,1H,12,8,1032.5
120,38257,2,1B,31,928.7096774
121,38257,2,1N,7,713.4285714
122,38258,1N,1B,31,929.7096774
123,38258,11,4B,24,1175.041667
124,38258,1N,2,33,1072.363636
125,38259,2,1N,7,715.4285714
126,38261,7A,1H,28,1044.821429
127,38262,12,1H,28,1045.821429
128,38262,1H,4B,24,1179.041667
129,38264,1N,2,33,1078.363636
130,38264,2,1B,31,935.7096774
131,38278,1N,1B,31,949.7096774
132,38280,2,1B,31,951.7096774
133,38286,1N,2,33,1100.363636
134,38296,1B,12,8,1071.5
135,38301,1N,11,16,1608
136,38317,1B,2,33,1131.363636
137,38320,2,1B,30,1003.066667
138,38320,1N,1B,30,1003.066667
139,38320,1N,2,33,1134.363636
140,38321,2,1N,6,740.3333333
141,38321,1N,1B,30,1004.066667
142,38322,1B,1N,6,741.3333333
143,38326,1N,1B,30,1009.066667
144,38327,11,1N,6,746.3333333
145,38339,1B,2,36,1073.416667
146,38352,2,1B,30,1014.4
147,38352,2,1B,30,1014.4
148,38358,1B,2,35,1097.942857
149,38364,1N,2,35,1103.942857
150,38386,2,11,20,1404.8
151,38390,1B,1N,6,809.3333333
152,38399,1N,2,35,1138.942857
153,38400,1N,11,20,1418.8
154,38401,2,1B,28,1025.964286
155,38411,2,1N,6,830.3333333
156,38412,1H,11,20,1430.8
157,38416,1K,1B,27,1020.703704
158,38421,12,1H,23,984.1304348
159,38421,12,1H,23,984.1304348
160,38435,11,4B,25,936.6
161,38437,1B,2,36,1150.361111
162,38437,2,1N,5,845.4
163,38440,12,1B,27,1044.703704
164,38441,11,1H,23,1004.130435
165,38443,1H,7A,11,968.1818182
166,38443,1B,12,9,827.4444444
167,38444,1N,2,36,1157.361111
168,38457,12,1B,27,1061.703704
169,38461,1B,12,9,845.4444444
170,38464,1B,2,36,1177.361111
171,38466,1N,1B,27,1070.703704
172,38467,2,1N,5,875.4
173,38467,1H,1B,27,1071.703704
174,38468,1N,1B,27,1072.703704
175,38486,12,1H,23,1049.130435
176,38487,1N,1B,27,1091.703704
177,38487,2,1B,27,1091.703704
178,38491,1B,1N,5,899.4
179,38496,2,1N,5,904.4
180,38497,12,1B,26,1127.769231
181,38509,1H,7A,12,968.5833333
182,38517,2,1N,5,925.4
183,38520,2,1B,26,1150.769231
184,38520,12,1B,26,1150.769231
185,38527,1B,2,43,1127.581395
